filename,original_path,size_bytes,recovery_status,file_type,sector_start,sector_end,preview_available,hash
$RWV0I69.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RWV0I69.pdf,720857,intact,pdf,0,0,True,7f7b2aaa99bfc78a03404cc02573aed9
$RWXOWQD.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RWXOWQD.pdf,237146,intact,pdf,0,0,True,9ca0000c73519462a39321a78587c7af
$RX73TB2.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RX73TB2.xlsx,22599,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RXW6OIR.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RXW6OIR.xlsx,87793,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$RXZ5DRS.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RXZ5DRS.xlsx,116444,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$RYZ3BKC.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RYZ3BKC.xlsx,20259,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$RZ20IPF.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RZ20IPF.xlsx,25104,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$RZ70INZ.zip,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RZ70INZ.zip,47693706,intact,zip,0,0,False,7a5e446c7f31adb54b816c6998ed1d96
$RZ85W34.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RZ85W34.xlsx,18453,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RZFEA3O.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RZFEA3O.pdf,4202432,intact,pdf,0,0,True,60ea5b1ba1ecea832adffe9b790f2436
$RZWOSTD.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RZWOSTD.pdf,206537,intact,pdf,0,0,True,b650b0ef9b779fad652d2833bceb73d5
Activation.zip,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RFBV1FA\Activation.zip,19579246,intact,zip,0,0,False,6370af304e82d015f22d4f6a71239730
1-1.jpg,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RQNAE0O\1-1.jpg,913924,intact,jpg,0,0,True,e1c2e5d2d5f05ccff9896a58ce6e22c5
1-2.jpg,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RQNAE0O\1-2.jpg,785717,intact,jpg,0,0,True,d34cab7b77f60e249bd7107251322c44
1-3.jpg,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RQNAE0O\1-3.jpg,399649,intact,jpg,0,0,True,e08d0940ec04beef3e4271ad68ebbbdb
